xl_file,property_name,unit_type,excluded_units,rentable_units,avg_scheduled_charges,current_occupied,prior_total_new,current_total_new,prior_renewal,current_renewal,prior_total_leases,current_total_leases,prior_pre_lease_pct,current_pre_lease_pct,yoy_variance_pct,projected_availability
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,S1,0,25,2783,12,12,13,13,12,25,25,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,S2,0,12,2923.75,6,8,6,4,6,12,12,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,S3,0,51,3013.235294117647,15,31,19,20,15,51,34,1,0.6666666666666666,-0.33333333333333337,17
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,S4,0,8,2946.875,5,6,4,2,4,8,8,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,S5,0,10,3081,4,5,6,4,4,9,10,0.9,1,0.09999999999999998,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,S6,0,29,3282.7586206896553,10,17,19,11,10,28,29,0.9655172413793104,1,0.03448275862068961,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,S7,0,4,3337.5,2,3,2,1,2,4,4,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,S8,0,11,3381.6666666666665,2,5,1,6,2,11,3,1,0.2727272727272727,-0.7272727272727273,8
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,S9,0,5,3950,0,3,4,2,0,5,4,1,0.8,-0.19999999999999996,1
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,S10,0,4,4047.5,2,3,0,1,2,4,2,1,0.5,-0.5,2
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,S11,0,24,1168.142857142857,20,6,6,16,15,22,21,0.9166666666666666,0.875,-0.04166666666666663,3
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,307 E. Daniel,D1,0,40,960.25,16,34,24,5,16,39,40,0.975,1,0.025000000000000022,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,501 S. 6Th,B1,0,2,895,2,2,0,0,2,2,2,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,501 S. 6Th,B2,0,2,915,2,2,0,0,2,2,2,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,501 S. 6Th,C1,0,12,935,0,9,14,3,0,12,14,1,1.1666666666666667,0.16666666666666674,-2
