report_date,property_id,property_name,unit_type,excluded_units,rentable_units,occupied_units,available_units,avg_market_rent,avg_budgeted_rent,avg_advertised_rate,avg_scheduled_rent,avg_actual_charges,avg_scheduled_charges,current_preleased_new_count,prior_preleased_new_count,current_preleased_renewal_count,prior_preleased_renewal_count,current_preleased_total_count,prior_preleased_total_count,current_preleased_percent,prior_preleased_percent,variance
2025-02-11,577897,Station Nine,a1a TF Pool Stack,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1a TF Stack,0,4,4,4,1830,1800,0,1836,14460,1836,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1a stack,0,23,21,23,1655.7142857142858,1767.142857142857,677.8571428571429,1471.7142857142858,9703.067142857142,1471.7142857142858,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1al TF Courtyard Stack,0,12,12,12,1921.6666666666667,2115,1888.3333333333333,1931.6666666666667,5862.066666666667,1931.6666666666667,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1al TF Pool Stack,0,4,3,4,2025,2100,2025,2100,15275.16,2100,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1al TF Stack,0,8,8,8,2030,2030,1930,1900,6085.92,1900,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1b Pool Stack,0,2,2,2,1800,1800,0,1836,14793.03,1836,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1b Stack,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1bl TF Pool Stack,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1bl TF Stack,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1c 1F Stack,0,1,1,1,1595,1745,1595,1595,11277,1595,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1hc 1F Pool Side by Side,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1hc 1F Side by Side,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1hc 1F Stack,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1hc Pool Side by Side,0,2,2,2,1640,1775,1640,1640,12106.65,1640,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1hc Side by Side,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1hc TF Pool Side by Side,0,1,1,1,1625,1840,1625,1655,3745.9,1655,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1hc TF Side by Side,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a2 1F Pool Side by Side,0,1,1,1,1528,1778,1528,1528,12,1528,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a2 Pool Side by Side,0,2,2,2,1805,1805,0,1841,15334,1841,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a2 TF Pool Side by Side,0,1,1,1,1740,1828,1728,1885,606,1885,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3a 1F Pool Side by Side,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3a 1F Side by Side,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3a Pool Side by Side,0,8,8,8,1990,1990,0,2030,17495.260000000002,2030,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3a Side by Side,0,4,4,4,1950,1950,0,1989,16200.59,1989,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3a TF Pool Side by Side,0,2,2,2,0,0,2190,1935,0,1935,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3a TF Side by Side,0,2,2,2,1720,2000,1900,1845,923,1845,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3al TF Pool Side by Side,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3al TF Pool Stack,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3b 1F Side by Side,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3b Side by Side,0,6,6,6,1945,1945,0,1900,15689.855,1900,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3b TF Side by Side,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3bl TF Side by Side,0,2,2,2,2135,2135,0,2178,17201,2178,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3c Side by Side,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3c TF Side by Side,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3d Side by Side,0,2,2,2,1960,1960,0,1999,15615.310000000001,1999,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a3dl TF Side by Side,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a4 1F Side by Side,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a4 1F Stack,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a4 Stack,0,4,3,4,1690,1860,1860,1900,17527.03,1900,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a4 TF Stack,0,2,2,2,1720,1895,1720,1720,10063.44,1720,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a5 1F Pool Side by Side Terrace,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a5 Pool Side by Side Terrace,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a5 TF Pool Side by Side Terrace,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a6 Stack,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1 1F Courtyard Side by Side,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
